ลำดับ,ชื่อชุดการแสดง,words,match_sources
55,ฟ้อนภูไท 3 เผ่า,"การเกี้ยวพาราสี, กาฬสินธุ์, ชาวพื้นเมือง, ชาวภูไท, ต่อสู้, นครพนม, ผู้แสดงฝ่ายหญิง, มวยโบราณ, มวยไทย, สกลนคร, เชิงมวย, เทือกเขาภูพาน",การเกี้ยวพาราสี:desc_exact; กาฬสินธุ์:desc_exact; ชาวพื้นเมือง:desc_exact; ชาวภูไท:desc_exact; ต่อสู้:desc_exact; นครพนม:desc_exact; ผู้แสดงฝ่ายหญิง:desc_fuzzy; มวยโบราณ:desc_exact; มวยไทย:desc_exact; สกลนคร:desc_exact; เชิงมวย:desc_exact; เทือกเขาภูพาน:desc_exact
56,กราววีรชัยลิง,"กราววีรชัยลิง, กองทัพ, การต่อสู้, การรบ, ความคล่องแคล่ว, ต่อสู้, พระยา, พระราม, รามเกียรติ์, วานร, สิบแปดมงกุฎ, อาหาร",กราววีรชัยลิง:name_exact; กองทัพ:desc_exact; การต่อสู้:desc_exact; การรบ:desc_fuzzy; ความคล่องแคล่ว:desc_exact; ต่อสู้:desc_exact; พระยา:desc_fuzzy; พระราม:desc_exact; รามเกียรติ์:desc_exact; วานร:desc_exact; สิบแปดมงกุฎ:desc_exact; อาหาร:desc_fuzzy
57,ระบำเก็บใบชา,"กลับบ้าน, การละเล่นพื้นเมือง, การเก็บใบชา, งานรื่นเริง, ชาวพื้นเมือง, ชาวเขา, ธงไทย, ผึ่งแดด, ผู้แสดงฝ่ายหญิง, ภาคเหนือ, ออกเดินทาง, เดินทาง, ใบชา",กลับบ้าน:desc_exact; การละเล่นพื้นเมือง:desc_exact; การเก็บใบชา:name_fuzzy; งานรื่นเริง:desc_fuzzy; ชาวพื้นเมือง:name_fuzzy; ชาวเขา:desc_exact; ธงไทย:desc_fuzzy; ผึ่งแดด:desc_exact; ผู้แสดงฝ่ายหญิง:desc_fuzzy; ภาคเหนือ:desc_exact; ออกเดินทาง:desc_exact; เดินทาง:desc_exact; ใบชา:name_exact
58,การแสดงโขนเรื่องรามเกียรติ์ ตอน  ศึกแสงอาทิตย์,"กองทัพ, ทศกัณฐ์, ประทาน, พญาขร, พระพรหม, พระยา, พระราม, พิเภก, มังกรกัณฐ์, รามเกียรติ์, อนุชา, อาวุธ, แว่นแก้วสุรกานต์, แสงอาทิตย์, โอรส",กองทัพ:desc_exact; ทศกัณฐ์:desc_exact; ประทาน:desc_exact; พญาขร:desc_exact; พระพรหม:desc_exact; พระยา:desc_fuzzy; พระราม:desc_exact; พิเภก:desc_exact; มังกรกัณฐ์:desc_exact; รามเกียรติ์:name_exact; อนุชา:desc_exact; อาวุธ:desc_exact; แว่นแก้วสุรกานต์:desc_exact; แสงอาทิตย์:name_exact; โอรส:desc_exact
59,การแสดงโขนเรื่องรามเกียรติ์ ตอน  หนุมานชาญสมร,"กรุงลงกา, กุณฑล, ขนเพชร, จำกาย, ทหารเอก, นางสวาหะ, ประทาน, ฝากตัว, พระนารายณ์, พระพาย, พระศิวะ, พระองค์, รามเกียรติ์, วานร, หนุมาน",กรุงลงกา:desc_exact; กุณฑล:desc_exact; ขนเพชร:desc_exact; จำกาย:desc_exact; ทหารเอก:desc_exact; นางสวาหะ:desc_exact; ประทาน:desc_exact; ฝากตัว:desc_exact; พระนารายณ์:desc_exact; พระพาย:desc_exact; พระศิวะ:desc_exact; พระองค์:desc_exact; รามเกียรติ์:name_exact; วานร:desc_exact; หนุมาน:name_exact
60,การแสดงโขนเรื่องรามเกียรติ์ ชุดยกรบ,"กรุงลงกา, กองทัพ, การขึ้นลอย, การรบ, ชั้นเชิง, ทศกัณฐ์, พระยา, พระราม, พระลักษมณ์, พลวานร, รามเกียรติ์, วานร, สงคราม, อาวุธ, ไพร่พล",กรุงลงกา:desc_exact; กองทัพ:desc_exact; การขึ้นลอย:desc_exact; การรบ:desc_exact; ชั้นเชิง:desc_exact; ทศกัณฐ์:desc_exact; พระยา:desc_fuzzy; พระราม:desc_exact; พระลักษมณ์:desc_exact; พลวานร:desc_exact; รามเกียรติ์:name_exact; วานร:desc_exact; สงคราม:desc_exact; อาวุธ:desc_exact; ไพร่พล:desc_exact
61,การแสดงโขนเรื่องรามเกียรติ์ ตอน  นารายณ์ปราบนนทก,"กราบทูล, นนทก, นิ้วเพชร, ประทาน, พระนารายณ์, พระศิวะ, พระองค์, พระอิศวร, มีฤทธิ์, รับใช้, รามเกียรติ์, เขาไกลลาศ, เข้าเฝ้า, เชิงบันได, เทวดา",กราบทูล:desc_exact; นนทก:name_exact; นิ้วเพชร:desc_exact; ประทาน:desc_exact; พระนารายณ์:desc_exact; พระศิวะ:desc_exact; พระองค์:desc_exact; พระอิศวร:desc_exact; มีฤทธิ์:desc_exact; รับใช้:desc_exact; รามเกียรติ์:name_exact; เขาไกลลาศ:desc_exact; เข้าเฝ้า:desc_exact; เชิงบันได:desc_exact; เทวดา:desc_exact
62,การแสดงโขนเรื่องรามเกียรติ์ ตอน  จองถนน,"กราบทูล, กรุงลงกา, ขีดขิน, จองถนน, ชามพูวราช, บรรพต, พลลิง, พลวานร, รามเกียรติ์, วานร, วิดน้ำ, สำเภา, อาสา, เมืองชมพู, ไพร่พล",กราบทูล:desc_exact; กรุงลงกา:desc_exact; ขีดขิน:desc_exact; จองถนน:name_exact; ชามพูวราช:desc_exact; บรรพต:desc_exact; พลลิง:desc_exact; พลวานร:desc_exact; รามเกียรติ์:name_exact; วานร:desc_exact; วิดน้ำ:desc_exact; สำเภา:desc_exact; อาสา:desc_exact; เมืองชมพู:desc_exact; ไพร่พล:desc_exact
63,การแสดงโขนเรื่องรามเกียรติ์ ตอน กุมภกรรณพุ่งหอกโมกขศักดิ์,"กรุงลงกา, การศึก, กุมภกรรณ, ขับไล่, นางสีดา, พระพรหม, พระราม, มัยราพณ์, มีฤทธิ์, รามเกียรติ์, สิ้นชีพ, หอกโมกขศักดิ์, อนุชา, อาสา, อุปราช",กรุงลงกา:desc_exact; การศึก:desc_exact; กุมภกรรณ:name_exact; ขับไล่:desc_exact; นางสีดา:desc_exact; พระพรหม:desc_exact; พระราม:desc_exact; มัยราพณ์:desc_exact; มีฤทธิ์:desc_exact; รามเกียรติ์:name_exact; สิ้นชีพ:desc_exact; หอกโมกขศักดิ์:name_exact; อนุชา:desc_exact; อาสา:desc_exact; อุปราช:desc_exact
64,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,"กลอุบาย, กวางทอง, กากนาสูร, กาลสูร, ทศกัณฐ์, นางสีดา, พระยา, พระราชบัญชา, พระราม, มารีศ, รามเกียรติ์, แปลงกาย",กลอุบาย:desc_exact; กวางทอง:desc_exact; กากนาสูร:desc_exact; กาลสูร:desc_fuzzy; ทศกัณฐ์:desc_exact; นางสีดา:desc_exact; พระยา:name_fuzzy; พระราชบัญชา:desc_exact; พระราม:name_exact; มารีศ:desc_exact; รามเกียรติ์:name_exact; แปลงกาย:desc_exact
65,การแสดงโขนเรื่องรามเกียรติ์ ตอน ลักสีดา,"กรุงลงกา, กวางทอง, จนตาย, จำกาย, ทศกัณฐ์, นางสีดา, พระราม, พระลอ, พระลักษมณ์, มารีศ, รามเกียรติ์, ฤาษี, สำมนักขา, แกล้งทำ, ได้ยิน",กรุงลงกา:desc_exact; กวางทอง:desc_exact; จนตาย:desc_fuzzy; จำกาย:desc_exact; ทศกัณฐ์:desc_exact; นางสีดา:desc_exact; พระราม:desc_exact; พระลอ:desc_fuzzy; พระลักษมณ์:desc_exact; มารีศ:desc_exact; รามเกียรติ์:name_exact; ฤาษี:desc_exact; สำมนักขา:desc_exact; แกล้งทำ:desc_exact; ได้ยิน:desc_exact
66,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญจำบัง,"กรุงลงกา, คู่ใจ, นักษัตร, นางสีดา, มารดา, รัชฎา, รับอาสา, รามเกียรติ์, วานร, วิรุญจำบัง, สมทบ, สัทธาสูร, หายตัว, อาสา, โอรส",กรุงลงกา:desc_exact; คู่ใจ:desc_exact; นักษัตร:desc_exact; นางสีดา:desc_exact; มารดา:desc_exact; รัชฎา:desc_exact; รับอาสา:desc_exact; รามเกียรติ์:name_exact; วานร:desc_exact; วิรุญจำบัง:name_exact; สมทบ:desc_exact; สัทธาสูร:desc_exact; หายตัว:desc_exact; อาสา:desc_exact; โอรส:desc_exact
67,ฟ้อนหมากกั๊บแก๊บลำเพลิน,"การขับร้อง, ขับร้อง, ชาวพื้นเมือง, ดนตรีพื้นบ้าน, ดนตรีไทย, ฟันปลา, ภาคอีสาน, ลำเพลิน, หมากกั๊บแก๊บ, หยอกล้อ, อีสาน, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง, ไม้ยาว, ไม้สั้น",การขับร้อง:desc_exact; ขับร้อง:desc_exact; ชาวพื้นเมือง:desc_exact; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ฟันปลา:desc_exact; ภาคอีสาน:desc_exact; ลำเพลิน:name_exact; หมากกั๊บแก๊บ:name_exact; หยอกล้อ:desc_exact; อีสาน:desc_exact; เครื่องดนตรีพื้นบ้าน:desc_exact; เครื่องดนตรีพื้นเมือง:desc_exact; ไม้ยาว:desc_exact; ไม้สั้น:desc_exact
68,การแสดงโขนเรื่องรามเกียรติ์ ตอน พาลีสอนน้อง,"การรบ, ขีดขิน, นักษัตร, ผู้ครองนคร, พระมหากษัตริย์, พระยา, พระราม, พาลี, รับใช้, รามเกียรติ์, สมมุติเทพ, สุครีพ, หลักราชการ, อนุชา",การรบ:desc_fuzzy; ขีดขิน:desc_exact; นักษัตร:desc_exact; ผู้ครองนคร:desc_exact; พระมหากษัตริย์:desc_exact; พระยา:desc_fuzzy; พระราม:desc_exact; พาลี:name_exact; รับใช้:desc_exact; รามเกียรติ์:name_exact; สมมุติเทพ:desc_exact; สุครีพ:desc_exact; หลักราชการ:desc_exact; อนุชา:desc_exact
69,การแสดงโขนเรื่องรามเกียรติ์ ตอน นางลอย,"กรุงลงกา, กองทัพ, จำแลง, ทศกัณฐ์, ทำนาย, นางสีดา, พระราม, พลับพลา, พิเภก, รามเกียรติ์, สงคราม, สะเดาะ, สะเดาะเคราะห์, เบญกาย, แม่น้ำ",กรุงลงกา:desc_exact; กองทัพ:desc_exact; จำแลง:desc_exact; ทศกัณฐ์:desc_exact; ทำนาย:desc_exact; นางสีดา:desc_exact; พระราม:desc_exact; พลับพลา:desc_exact; พิเภก:desc_exact; รามเกียรติ์:name_exact; สงคราม:desc_exact; สะเดาะ:desc_exact; สะเดาะเคราะห์:desc_exact; เบญกาย:desc_exact; แม่น้ำ:desc_exact
70,กราววีรชัยยักษ์,"กระบวนท่ารำ, กราววีรชัยลิง, กองทัพ, จัดทัพ, รามเกียรติ์",กระบวนท่ารำ:desc_fuzzy; กราววีรชัยลิง:name_fuzzy; กองทัพ:desc_exact; จัดทัพ:desc_exact; รามเกียรติ์:desc_exact
71,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญมุข,"ข่ายเหล็ก, ชามพูวราช, ทำพิธี, พลลิง, มังกรกัณฐ์, รับอาสา, รามเกียรติ์, วิรุญจำบัง, วิรุญมุข, ศรนาคบาศ, สมรภูมิ, หนุมาน, อาสา, เดินอากาศ, โอรส",ข่ายเหล็ก:desc_exact; ชามพูวราช:desc_exact; ทำพิธี:desc_exact; พลลิง:desc_exact; มังกรกัณฐ์:desc_exact; รับอาสา:desc_exact; รามเกียรติ์:name_exact; วิรุญจำบัง:desc_exact; วิรุญมุข:name_exact; ศรนาคบาศ:desc_exact; สมรภูมิ:desc_exact; หนุมาน:desc_exact; อาสา:desc_exact; เดินอากาศ:desc_exact; โอรส:desc_exact
72,กินนรีร่อนออกมโนราห์บูชายัญ,"กระบวนท่ารำ, กินรี, นางกินรี, บูชายัญ, มโนราห์, ละครชาตรี, สระอโนดาต, เล่นน้ำ",กระบวนท่ารำ:desc_exact; กินรี:desc_exact; นางกินรี:desc_exact; บูชายัญ:name_exact; มโนราห์:name_exact; ละครชาตรี:desc_exact; สระอโนดาต:desc_exact; เล่นน้ำ:desc_exact
73,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกสัทธาสูร,"ขี่ม้า, ข่ายเพชร, จนตาย, บอกทาง, ฟองน้ำ, ภูเขา, รามเกียรติ์, วานร, วิรุญจำบัง, ศรพาลจันทร์, สัทธาสูร, หนุมาน, หลบหนี, อาวุธ, เขาสัตภัณฑ์",ขี่ม้า:desc_exact; ข่ายเพชร:desc_exact; จนตาย:desc_exact; บอกทาง:desc_exact; ฟองน้ำ:desc_exact; ภูเขา:desc_exact; รามเกียรติ์:name_exact; วานร:desc_exact; วิรุญจำบัง:desc_exact; ศรพาลจันทร์:desc_exact; สัทธาสูร:name_exact; หนุมาน:desc_exact; หลบหนี:desc_exact; อาวุธ:desc_exact; เขาสัตภัณฑ์:desc_exact
74,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกพรหมาสตร์,"กราบทูล, กองทัพ, กาลสูร, ช้างเอราวัณ, ทำพิธี, นางฟ้า, พรหมาสตร์, พระอินทร์, มังกรกัณฐ์, รามเกียรติ์, รุทการ, สังหาร, สิ้นชีวิต, แปลงกาย, แปลงตัว",กราบทูล:desc_exact; กองทัพ:desc_exact; กาลสูร:desc_exact; ช้างเอราวัณ:desc_exact; ทำพิธี:desc_exact; นางฟ้า:desc_exact; พรหมาสตร์:name_exact; พระอินทร์:desc_exact; มังกรกัณฐ์:desc_exact; รามเกียรติ์:name_exact; รุทการ:desc_exact; สังหาร:desc_exact; สิ้นชีวิต:desc_exact; แปลงกาย:desc_exact; แปลงตัว:desc_exact
