ลำดับ,ชื่อชุดการแสดง,words,match_sources
102,ระบำลพบุรี,"ดนตรีพื้นบ้าน, ดนตรีไทย, ทับหลัง, นครราชสีมา, บุรี, บุรีรัมย์, ประติมากรรม, ปราสาทพนมรุ้ง, ปราสาทหินพิมาย, พุทธศตวรรษ, สมัยลพบุรี, หน้าบัน, เครื่องแบบ",ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ทับหลัง:desc_exact; นครราชสีมา:desc_exact; บุรี:name_exact; บุรีรัมย์:desc_exact; ประติมากรรม:desc_exact; ปราสาทพนมรุ้ง:desc_exact; ปราสาทหินพิมาย:desc_exact; พุทธศตวรรษ:desc_exact; สมัยลพบุรี:desc_exact; หน้าบัน:desc_exact; เครื่องแบบ:desc_fuzzy
103,ระบำสุโขทัย,"งานประติมากรรม, ดนตรีพื้นบ้าน, ดนตรีไทย, ประติมากรรม, ปางลีลา, ปูนปั้น, พระพุทธรูป, พุทธศตวรรษ, สมัยสุโขทัย, หล่อสำริด, เครื่องแบบ",งานประติมากรรม:desc_fuzzy; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ประติมากรรม:desc_exact; ปางลีลา:desc_exact; ปูนปั้น:desc_exact; พระพุทธรูป:desc_exact; พุทธศตวรรษ:desc_exact; สมัยสุโขทัย:desc_exact; หล่อสำริด:desc_exact; เครื่องแบบ:desc_fuzzy
104,ระบำศรีวิชัย,"ชุมพร, ดนตรีพื้นบ้าน, ดนตรีไทย, นครศรีธรรมราช, ปัตตานี, พุทธศตวรรษ, มลายู, สมัยศรีวิชัย, อินโดนีเซีย, เครื่องแบบ, แหลมมลายู, โบราณวัตถุ",ชุมพร:desc_exact; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; นครศรีธรรมราช:desc_exact; ปัตตานี:desc_exact; พุทธศตวรรษ:desc_exact; มลายู:desc_exact; สมัยศรีวิชัย:name_fuzzy; อินโดนีเซีย:desc_exact; เครื่องแบบ:desc_fuzzy; แหลมมลายู:desc_exact; โบราณวัตถุ:desc_exact
105,ระบำเซียงแสน,"จิตรกรรม, ดนตรีพื้นบ้าน, ดนตรีไทย, ปูนปั้น, พุทธศตวรรษ, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ภาพจิตรกรรมฝาผนัง, เสียงดนตรี, โบราณสถาน",จิตรกรรม:desc_exact; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ปูนปั้น:desc_exact; พุทธศตวรรษ:desc_exact; ภาคตะวันออกเฉียงเหนือ:desc_exact; ภาคเหนือ:desc_exact; ภาพจิตรกรรมฝาผนัง:desc_exact; เสียงดนตรี:desc_exact; โบราณสถาน:desc_exact
106,ฉุยฉายเบญกาย,"ฉุยฉาย, ทศกัณฐ์, นางสีดา, พระยา, พระราม, รามเกียรติ์, สงคราม, เบญกาย, แปลงกาย",ฉุยฉาย:name_exact; ทศกัณฐ์:desc_exact; นางสีดา:desc_exact; พระยา:desc_fuzzy; พระราม:desc_exact; รามเกียรติ์:desc_exact; สงคราม:desc_exact; เบญกาย:name_exact; แปลงกาย:desc_exact
107,รำมโนห์ราบูชายัญ,"กองไฟ, การรบ, บินหนี, บูชายัญ, มโนห์รา, เขาไกรลาส",กองไฟ:desc_exact; การรบ:desc_fuzzy; บินหนี:desc_exact; บูชายัญ:name_exact; มโนห์รา:name_exact; เขาไกรลาส:desc_exact
108,ฉุยฉายยอพระกลิ่น,"ฉุยฉาย, นางเอก, พระลอ, พระสวามี, มณีพิชัย, ยอพระกลิ่น, ละครนอก, ละครใน, สวามี, ออกเดินทาง, เดินทาง",ฉุยฉาย:name_exact; นางเอก:desc_exact; พระลอ:name_fuzzy; พระสวามี:desc_exact; มณีพิชัย:desc_exact; ยอพระกลิ่น:name_exact; ละครนอก:desc_exact; ละครใน:desc_fuzzy; สวามี:desc_exact; ออกเดินทาง:desc_exact; เดินทาง:desc_exact
109,ฉุยฉายศูรปนขา,"การเกี้ยวพาราสี, ฉุยฉาย, ทศกัณฐ์, น้องสาว, พระยา, พระราม, ยักษิณี, รามเกียรติ์, ศูรปนขา, แปลงกาย",การเกี้ยวพาราสี:desc_fuzzy; ฉุยฉาย:name_exact; ทศกัณฐ์:desc_exact; น้องสาว:desc_exact; พระยา:desc_fuzzy; พระราม:desc_exact; ยักษิณี:desc_exact; รามเกียรติ์:desc_exact; ศูรปนขา:name_exact; แปลงกาย:desc_exact
110,ชุมนุมฉุยฉาย,"การรบ, ฉุยฉาย, ชุมนุม, พราหมณ์, แต่งกายยืนเครื่องพระ",การรบ:desc_fuzzy; ฉุยฉาย:name_exact; ชุมนุม:name_exact; พราหมณ์:desc_exact; แต่งกายยืนเครื่องพระ:desc_fuzzy
111,ฉุยฉายวันทอง,"กลอุบาย, ขุนแผน, ฉุยฉาย, บุตรชาย, พระไวย, มารดา, วันทอง, แปลงกาย",กลอุบาย:desc_exact; ขุนแผน:desc_exact; ฉุยฉาย:name_exact; บุตรชาย:desc_exact; พระไวย:desc_exact; มารดา:desc_exact; วันทอง:name_exact; แปลงกาย:desc_exact
112,ฉุยฉายหนุมานทรงเครื่อง,"การรบ, ฉุยฉาย, ทศกัณฐ์, ทหารเอก, ผู้แสดงฝ่ายชาย, พระยา, พระราม, รามเกียรติ์, วานร, สงคราม, หนุมาน, ออกเดินทาง, เครื่องแบบ, เดินทาง",การรบ:desc_fuzzy; ฉุยฉาย:name_exact; ทศกัณฐ์:desc_exact; ทหารเอก:desc_exact; ผู้แสดงฝ่ายชาย:desc_fuzzy; พระยา:desc_fuzzy; พระราม:desc_exact; รามเกียรติ์:desc_exact; วานร:desc_exact; สงคราม:desc_exact; หนุมาน:name_exact; ออกเดินทาง:desc_exact; เครื่องแบบ:name_fuzzy; เดินทาง:desc_exact
113,ฉุยฉายทศกัณฐ์ลงสวน,"กรุงลงกา, ฉุยฉาย, ทศกัณฐ์, นางสีดา, พวงมาลัย, มือขวา, รามเกียรติ์",กรุงลงกา:desc_exact; ฉุยฉาย:name_exact; ทศกัณฐ์:name_exact; นางสีดา:desc_exact; พวงมาลัย:desc_exact; มือขวา:desc_exact; รามเกียรติ์:desc_exact
114,ฉุยฉายพราหมณ์,"ฉุยฉาย, ชาวพื้นเมือง, พระคเณศ, พระนารายณ์, พระยา, พระลอ, พระศิวะ, พระอิศวร, พระอุมา, พราหมณ์, มเหสี, ฮินดู, เทพเจ้า, เบิกโรง, แปลงกาย",ฉุยฉาย:name_exact; ชาวพื้นเมือง:desc_exact; พระคเณศ:desc_exact; พระนารายณ์:desc_exact; พระยา:desc_fuzzy; พระลอ:desc_fuzzy; พระศิวะ:desc_exact; พระอิศวร:desc_exact; พระอุมา:desc_exact; พราหมณ์:name_exact; มเหสี:desc_exact; ฮินดู:desc_exact; เทพเจ้า:desc_exact; เบิกโรง:desc_exact; แปลงกาย:desc_exact
