Model,MAX_CANDS_LABEL,nDCG_mean,nDCG_std,HR_mean,HR_std,MRR_mean,MRR_std,coverage_mean,feasible_mean,nDCG@10,HR@10,MRR@10
CF-BiasedMF-BPR,20,0.5122451021004867,0.044091039770158345,0.87352506201297,0.027415396813356765,0.39961141917304344,0.049915228281779654,0.9743589743589745,152.0,0.5122±0.0441,0.8735±0.0274,0.3996±0.0499
CF-BiasedMF-BPR,40,0.40731745884460063,0.034842818482061166,0.7332708152062991,0.03518526413290044,0.30628146814782775,0.03557245899376243,0.9948717948717949,155.2,0.4073±0.0348,0.7333±0.0352,0.3063±0.0356
CF-BiasedMF-BPR,80,0.3659640665276544,0.042900152131920756,0.666170388751034,0.05627838456869491,0.27348863024669484,0.039158416258571783,0.9987179487179487,155.8,0.3660±0.0429,0.6662±0.0563,0.2735±0.0392
CF-BiasedMF-BPR,all eligible,0.3584607307966631,0.04580978219453811,0.6564102564102564,0.06387781111975954,0.2670121082621083,0.041537169635844896,1.0,156.0,0.3585±0.0458,0.6564±0.0639,0.2670±0.0415
CF-EASE_R,20,0.6472164548680489,0.018041064344398765,0.9303031383586126,0.034088824586781995,0.5570462593947638,0.014950177090584223,0.9743589743589745,152.0,0.6472±0.0180,0.9303±0.0341,0.5570±0.0150
CF-EASE_R,40,0.6343347585221801,0.030125276094555068,0.9072358823971728,0.009491915705880285,0.5479578609221466,0.03642834592435157,0.9948717948717949,155.2,0.6343±0.0301,0.9072±0.0095,0.5480±0.0364
CF-EASE_R,80,0.6198365621228257,0.022333797880377256,0.8883622828784119,0.02448698356516153,0.534192744233067,0.030534670715281893,0.9987179487179487,155.8,0.6198±0.0223,0.8884±0.0245,0.5342±0.0305
CF-EASE_R,all eligible,0.627871072804014,0.010661050382418026,0.8871794871794872,0.021548379889707207,0.5451989214489215,0.009498731448193489,1.0,156.0,0.6279±0.0107,0.8872±0.0215,0.5452±0.0095
CF-ItemKNN,20,0.816500933394288,0.015216678395411203,0.9842497725365675,0.007368940023218717,0.7612853239733104,0.019112489404792835,0.9743589743589745,152.0,0.8165±0.0152,0.9842±0.0074,0.7613±0.0191
CF-ItemKNN,40,0.7966577348370018,0.013258752052499632,0.9639116797181313,0.007350004698422828,0.7415346684378942,0.019240687577810677,0.9948717948717949,155.2,0.7967±0.0133,0.9639±0.0074,0.7415±0.0192
CF-ItemKNN,80,0.7848544993538271,0.02139140828548848,0.9614805624483044,0.016371885922269097,0.7267634572715217,0.02564602616055644,0.9987179487179487,155.8,0.7849±0.0214,0.9615±0.0164,0.7268±0.0256
CF-ItemKNN,all eligible,0.7928736231426154,0.02379177389419355,0.964102564102564,0.017319559084751666,0.7364794464794464,0.02990588457882334,1.0,156.0,0.7929±0.0238,0.9641±0.0173,0.7365±0.0299
CF-SimpleX,20,0.7550841477991559,0.022870285811283135,0.9630299176320596,0.01388117551887188,0.6871666271788036,0.028477007047369114,0.9743589743589745,152.0,0.7551±0.0229,0.9630±0.0139,0.6872±0.0285
CF-SimpleX,40,0.687657587056982,0.01855691639081782,0.9329348071283554,0.019406496609769595,0.6081451101808243,0.018935418768245255,0.9948717948717949,155.2,0.6877±0.0186,0.9329±0.0194,0.6081±0.0189
CF-SimpleX,80,0.6506434515587778,0.03217352947924778,0.8908354011579818,0.02215906596234719,0.5726493330444942,0.036007613661813646,0.9987179487179487,155.8,0.6506±0.0322,0.8908±0.0222,0.5726±0.0360
CF-SimpleX,all eligible,0.6442890290407525,0.03464426331439568,0.8897435897435898,0.03463911816950333,0.5657493894993896,0.03696316009793764,1.0,156.0,0.6443±0.0346,0.8897±0.0346,0.5657±0.0370
Hybrid-RRF,20,0.7844104855781009,0.006017762701159531,0.9934276015378367,0.006584105962580324,0.7155959641813794,0.00648484821823654,0.9743589743589745,152.0,0.7844±0.0060,0.9934±0.0066,0.7156±0.0065
Hybrid-RRF,40,0.7647863619651908,0.01230166740430583,0.9832253767737639,0.007411595535556338,0.6931704695713912,0.014284090290828586,0.9948717948717949,155.2,0.7648±0.0123,0.9832±0.0074,0.6932±0.0143
Hybrid-RRF,80,0.7542983928276135,0.01050624050906591,0.9717535153019025,0.007336553264483334,0.6830741036144261,0.015355171829551612,0.9987179487179487,155.8,0.7543±0.0105,0.9718±0.0073,0.6831±0.0154
Hybrid-RRF,all eligible,0.757291383783949,0.009635763280477473,0.9807692307692308,0.011992491624275466,0.6843874643874643,0.009532461690057023,1.0,156.0,0.7573±0.0096,0.9808±0.0120,0.6844±0.0095
Hybrid-ReliabilityGate,20,0.8763957317846127,0.008170246769699725,0.9948218427155808,0.008415192060585708,0.8365654823676841,0.010056622965465296,0.9743589743589745,152.0,0.8764±0.0082,0.9948±0.0084,0.8366±0.0101
Hybrid-ReliabilityGate,40,0.8492560656805412,0.01738197358368423,0.988386881935269,0.005422770108033197,0.802865322806567,0.02306459409185568,0.9948717948717949,155.2,0.8493±0.0174,0.9884±0.0054,0.8029±0.0231
Hybrid-ReliabilityGate,80,0.841958977987842,0.020446064468159546,0.979454094292804,0.00838361500940923,0.795916945658881,0.024735512819209233,0.9987179487179487,155.8,0.8420±0.0204,0.9795±0.0084,0.7959±0.0247
Hybrid-ReliabilityGate,all eligible,0.8465282482851946,0.023006429489081392,0.9833333333333334,0.012495890185652525,0.8010363247863248,0.02744660327034109,1.0,156.0,0.8465±0.0230,0.9833±0.0125,0.8010±0.0274
Hybrid-WeightedProduct,20,0.8856176540181522,0.007944387105051546,0.9815854944128188,0.015080593199907642,0.8542977864875232,0.00826508815110252,0.9743589743589745,152.0,0.8856±0.0079,0.9816±0.0151,0.8543±0.0083
