MAX_CANDS,hybrid,baseline,n_pairs,mean_diff_nDCG@10,ci_95_lo,ci_95_hi,wilcoxon_p_greater,cohen_dz
80,Hybrid-WeightedSum,POP-Context,779,0.6748162862950702,0.6487496401891082,0.7000828254927592,4.4073885942249554e-119,1.8459501634027062
all,Hybrid-WeightedSum,CBF-multilingual-e5-large-instruct,780,0.025529537165534757,0.014261302692338784,0.03678301201286627,6.592830086034822e-06,0.1597315006006347
all,Hybrid-WeightedSum,CBF-bge-m3,780,0.028085136194659563,0.014859237875899474,0.04136315804728684,3.7260647243735915e-05,0.1476562696498116
all,Hybrid-WeightedSum,CBF-SCT-KD-model-phayathaibert,780,0.11216539281841548,0.09376423894024229,0.13091830177726976,5.148361729251868e-28,0.44038434854778885
all,Hybrid-WeightedSum,CBF-wangchanberta-base-att-spm-uncased,780,0.13105745703886046,0.11245252495388625,0.14975568611226958,1.998118117403998e-34,0.5009618360872512
all,Hybrid-WeightedSum,CF-EASE_R,780,0.2738161907472,0.25124799724865976,0.29670405911359554,8.929288219764301e-69,0.8474831473921429
all,Hybrid-WeightedSum,CF-BiasedMF,780,0.3978383248512927,0.370503016979971,0.424715158976652,4.7873790173941235e-83,1.0328098414376037
all,Hybrid-WeightedSum,CF-BiasedMF-BPR,780,0.5432265327545514,0.5182337787548807,0.5688335172214839,4.709561915416753e-108,1.5105125483900383
all,Hybrid-WeightedSum,CF-ItemKNN,780,0.10881364040859831,0.0925800709604225,0.12535316442406727,2.176400662435665e-31,0.4686844233543188
all,Hybrid-WeightedSum,CF-SimpleX,780,0.25739823451046134,0.23382264447374404,0.2815854694000145,5.125322744971531e-61,0.7635691127533186
all,Hybrid-WeightedSum,POP-Global,780,0.6802140485517051,0.6545570561043765,0.704577170837391,2.5660379170435606e-118,1.873630458046466
all,Hybrid-WeightedSum,POP-Context,780,0.6802140485517051,0.6545570561043765,0.704577170837391,2.5660379170435606e-118,1.873630458046466
