Model,Seed,MAX_CANDS,best_b_cbf,best_val_nDCG@10,selection_metric,coverage_rate,feasible_nDCG@10,feasible_HR@10,feasible_MRR@10,feasible_cases,total_cases,best_b,best_l2_reg,best_cfg,best_alpha,best_k_rrf,model_family,model_name,is_selected_best,run_id,config_hash
CBF-SCT-KD-model-phayathaibert,999,20.0,0.3,0.7689346514266142,validation_nDCG@10,0.9807692307692307,0.830739426792751,0.9738562091503268,0.783348895113601,153,156,,,,,,CBF,SCT-KD-model-phayathaibert,True,ced76ac42907,20bb7f7d0845
CBF-SCT-KD-model-phayathaibert,2024,20.0,0.3,0.8001785152822868,validation_nDCG@10,0.9935897435897436,0.8245245176434923,0.9870967741935484,0.771326164874552,155,156,,,,,,CBF,SCT-KD-model-phayathaibert,True,ced76ac42907,20bb7f7d0845
CBF-SCT-KD-model-phayathaibert,555,20.0,0.3,0.818623520756224,validation_nDCG@10,0.9807692307692307,0.8381880348725816,0.954248366013072,0.7995798319327732,153,156,,,,,,CBF,SCT-KD-model-phayathaibert,True,ced76ac42907,20bb7f7d0845
CBF-SCT-KD-model-phayathaibert,42,40.0,0.3,0.8052677438419779,validation_nDCG@10,1.0,0.766802862707446,0.9551282051282052,0.7057107244607244,156,156,,,,,,CBF,SCT-KD-model-phayathaibert,True,ced76ac42907,20bb7f7d0845
CBF-SCT-KD-model-phayathaibert,123,40.0,0.3,0.7832453443320431,validation_nDCG@10,0.9871794871794872,0.7836932795416105,0.9675324675324676,0.7240414347557205,154,156,,,,,,CBF,SCT-KD-model-phayathaibert,True,ced76ac42907,20bb7f7d0845
CBF-SCT-KD-model-phayathaibert,999,40.0,0.3,0.8036489575390553,validation_nDCG@10,1.0,0.8158452785543577,0.9615384615384616,0.7673153235653235,156,156,,,,,,CBF,SCT-KD-model-phayathaibert,True,ced76ac42907,20bb7f7d0845
CBF-SCT-KD-model-phayathaibert,2024,40.0,0.3,0.8200336458102697,validation_nDCG@10,0.9935897435897436,0.8209371656071898,0.967741935483871,0.7726318484383,155,156,,,,,,CBF,SCT-KD-model-phayathaibert,True,ced76ac42907,20bb7f7d0845
CBF-SCT-KD-model-phayathaibert,555,40.0,0.3,0.7607784354404363,validation_nDCG@10,0.9935897435897436,0.7912985980426526,0.9483870967741935,0.7405427547363032,155,156,,,,,,CBF,SCT-KD-model-phayathaibert,True,ced76ac42907,20bb7f7d0845
CBF-SCT-KD-model-phayathaibert,42,80.0,0.3,0.8143845569263009,validation_nDCG@10,1.0,0.781105559147777,0.9423076923076923,0.7278566341066339,156,156,,,,,,CBF,SCT-KD-model-phayathaibert,True,ced76ac42907,20bb7f7d0845
CBF-SCT-KD-model-phayathaibert,123,80.0,0.3,0.7782060598599209,validation_nDCG@10,0.9935897435897436,0.7580962960684592,0.9548387096774194,0.6943522785458269,155,156,,,,,,CBF,SCT-KD-model-phayathaibert,True,ced76ac42907,20bb7f7d0845
CBF-SCT-KD-model-phayathaibert,999,80.0,0.3,0.8002253420616753,validation_nDCG@10,1.0,0.8239602375388168,0.9615384615384616,0.7789504477004476,156,156,,,,,,CBF,SCT-KD-model-phayathaibert,True,ced76ac42907,20bb7f7d0845
CBF-SCT-KD-model-phayathaibert,2024,80.0,0.3,0.8312505901710046,validation_nDCG@10,1.0,0.7797079348550897,0.9743589743589743,0.7171754171754171,156,156,,,,,,CBF,SCT-KD-model-phayathaibert,True,ced76ac42907,20bb7f7d0845
CBF-SCT-KD-model-phayathaibert,555,80.0,0.3,0.7883516229746313,validation_nDCG@10,1.0,0.797324922218434,0.9551282051282052,0.7467287342287344,156,156,,,,,,CBF,SCT-KD-model-phayathaibert,True,ced76ac42907,20bb7f7d0845
CBF-SCT-KD-model-phayathaibert,42,,0.3,0.7739853828727902,validation_nDCG@10,1.0,0.7990125960005717,0.967948717948718,0.7429385429385429,156,156,,,,,,CBF,SCT-KD-model-phayathaibert,True,ced76ac42907,20bb7f7d0845
CBF-SCT-KD-model-phayathaibert,123,,0.25,0.7721665581598685,validation_nDCG@10,1.0,0.7501261387039014,0.9230769230769231,0.6928291615791616,156,156,,,,,,CBF,SCT-KD-model-phayathaibert,True,ced76ac42907,20bb7f7d0845
CBF-SCT-KD-model-phayathaibert,999,,0.3,0.7694047372889026,validation_nDCG@10,1.0,0.8161189770409313,0.9743589743589743,0.764163614163614,156,156,,,,,,CBF,SCT-KD-model-phayathaibert,True,ced76ac42907,20bb7f7d0845
CBF-SCT-KD-model-phayathaibert,2024,,0.3,0.7977964519322941,validation_nDCG@10,1.0,0.7801301090193725,0.9871794871794872,0.7131512006512005,156,156,,,,,,CBF,SCT-KD-model-phayathaibert,True,ced76ac42907,20bb7f7d0845
CBF-SCT-KD-model-phayathaibert,555,,0.3,0.7998957027943198,validation_nDCG@10,1.0,0.8022215328992149,0.967948717948718,0.7487306674806674,156,156,,,,,,CBF,SCT-KD-model-phayathaibert,True,ced76ac42907,20bb7f7d0845
CBF-wangchanberta-base-att-spm-uncased,42,20.0,0.2,0.7709213892623862,validation_nDCG@10,0.9615384615384616,0.7680121011845353,0.9733333333333334,0.7008333333333333,150,156,,,,,,CBF,wangchanberta-base-att-spm-uncased,True,ced76ac42907,20bb7f7d0845
CBF-wangchanberta-base-att-spm-uncased,123,20.0,0.2,0.7297463011478857,validation_nDCG@10,0.9551282051282052,0.7805923952935445,1.0,0.7101736444018325,149,156,,,,,,CBF,wangchanberta-base-att-spm-uncased,True,ced76ac42907,20bb7f7d0845
CBF-wangchanberta-base-att-spm-uncased,999,20.0,0.2,0.7763392775594836,validation_nDCG@10,0.9807692307692307,0.7837381051233856,0.9738562091503268,0.7218461458657536,153,156,,,,,,CBF,wangchanberta-base-att-spm-uncased,True,ced76ac42907,20bb7f7d0845
CBF-wangchanberta-base-att-spm-uncased,2024,20.0,0.2,0.7670660329217261,validation_nDCG@10,0.9935897435897436,0.8047700369151474,0.9741935483870968,0.7495929339477727,155,156,,,,,,CBF,wangchanberta-base-att-spm-uncased,True,ced76ac42907,20bb7f7d0845
CBF-wangchanberta-base-att-spm-uncased,555,20.0,0.2,0.7583395814547231,validation_nDCG@10,0.9807692307692307,0.7638132999689597,0.9738562091503268,0.6972377840024899,153,156,,,,,,CBF,wangchanberta-base-att-spm-uncased,True,ced76ac42907,20bb7f7d0845
CBF-wangchanberta-base-att-spm-uncased,42,40.0,0.2,0.7604335992252376,validation_nDCG@10,1.0,0.75821084438643,0.967948717948718,0.6914046601546601,156,156,,,,,,CBF,wangchanberta-base-att-spm-uncased,True,ced76ac42907,20bb7f7d0845
CBF-wangchanberta-base-att-spm-uncased,123,40.0,0.25,0.7310089077560131,validation_nDCG@10,0.9871794871794872,0.7557965018230854,0.9545454545454546,0.6906101834673264,154,156,,,,,,CBF,wangchanberta-base-att-spm-uncased,True,ced76ac42907,20bb7f7d0845
CBF-wangchanberta-base-att-spm-uncased,999,40.0,0.2,0.755256657900562,validation_nDCG@10,1.0,0.7815781006403455,0.9615384615384616,0.724310643060643,156,156,,,,,,CBF,wangchanberta-base-att-spm-uncased,True,ced76ac42907,20bb7f7d0845
CBF-wangchanberta-base-att-spm-uncased,2024,40.0,0.2,0.7860667064007654,validation_nDCG@10,0.9935897435897436,0.8097194504139432,0.9741935483870968,0.7566077828981054,155,156,,,,,,CBF,wangchanberta-base-att-spm-uncased,True,ced76ac42907,20bb7f7d0845
CBF-wangchanberta-base-att-spm-uncased,555,40.0,0.2,0.7638169418803026,validation_nDCG@10,0.9935897435897436,0.7617453673896235,0.9612903225806452,0.6990501792114695,155,156,,,,,,CBF,wangchanberta-base-att-spm-uncased,True,ced76ac42907,20bb7f7d0845
CBF-wangchanberta-base-att-spm-uncased,42,80.0,0.25,0.7836057342726374,validation_nDCG@10,1.0,0.7740652107176452,0.9423076923076923,0.7193528693528694,156,156,,,,,,CBF,wangchanberta-base-att-spm-uncased,True,ced76ac42907,20bb7f7d0845
CBF-wangchanberta-base-att-spm-uncased,123,80.0,0.2,0.7370220494572229,validation_nDCG@10,0.9935897435897436,0.731627005725628,0.9483870967741935,0.6613927291346647,155,156,,,,,,CBF,wangchanberta-base-att-spm-uncased,True,ced76ac42907,20bb7f7d0845
CBF-wangchanberta-base-att-spm-uncased,999,80.0,0.2,0.7691814808672858,validation_nDCG@10,1.0,0.7888927538375012,0.9294871794871795,0.7426892551892552,156,156,,,,,,CBF,wangchanberta-base-att-spm-uncased,True,ced76ac42907,20bb7f7d0845
CBF-wangchanberta-base-att-spm-uncased,2024,80.0,0.2,0.7578889920168322,validation_nDCG@10,1.0,0.7625631818654396,0.9551282051282052,0.7005799755799755,156,156,,,,,,CBF,wangchanberta-base-att-spm-uncased,True,ced76ac42907,20bb7f7d0845
CBF-wangchanberta-base-att-spm-uncased,555,80.0,0.2,0.7405904310156364,validation_nDCG@10,1.0,0.7487836542557431,0.9487179487179487,0.6855260480260482,156,156,,,,,,CBF,wangchanberta-base-att-spm-uncased,True,ced76ac42907,20bb7f7d0845
CBF-wangchanberta-base-att-spm-uncased,42,,0.25,0.7776721239388517,validation_nDCG@10,1.0,0.8046340875980689,0.9743589743589743,0.7490181115181117,156,156,,,,,,CBF,wangchanberta-base-att-spm-uncased,True,ced76ac42907,20bb7f7d0845
CBF-wangchanberta-base-att-spm-uncased,123,,0.2,0.7413391052585487,validation_nDCG@10,1.0,0.7413834592628586,0.9358974358974359,0.6779532967032966,156,156,,,,,,CBF,wangchanberta-base-att-spm-uncased,True,ced76ac42907,20bb7f7d0845
