seed,MAX_CANDS,user,model,target,rank,HR@10,MRR@10,nDCG@10,feasible
123,20,บุคคล11,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,1,1.0,1.0,1.0,1
123,20,บุคคล12,CBF-multilingual-e5-large-instruct,ฟ้อนมาลัย,2,1.0,0.5,0.6309297535714575,1
123,20,บุคคล13,CBF-multilingual-e5-large-instruct,ฟ้อนขันดอก,7,1.0,0.14285714285714285,0.3333333333333333,1
123,20,บุคคล15,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,2,1.0,0.5,0.6309297535714575,1
123,20,บุคคล16,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,2,1.0,0.5,0.6309297535714575,1
123,20,บุคคล17,CBF-multilingual-e5-large-instruct,เซิ้งโปงลาง,1,1.0,1.0,1.0,1
123,20,บุคคล18,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ชุดยกรบ,1,1.0,1.0,1.0,1
123,20,บุคคล19,CBF-multilingual-e5-large-instruct,ฟ้อนรัก,1,1.0,1.0,1.0,1
123,20,บุคคล2,CBF-multilingual-e5-large-instruct,กลองสะบัดชัย,2,1.0,0.5,0.6309297535714575,1
123,20,บุคคล20,CBF-multilingual-e5-large-instruct,เซิ้งไทภูเขา,1,1.0,1.0,1.0,1
123,20,บุคคล21,CBF-multilingual-e5-large-instruct,เซิ้งโปงลาง,1,1.0,1.0,1.0,1
123,20,บุคคล22,CBF-multilingual-e5-large-instruct,ระบำทวารวดี,1,1.0,1.0,1.0,1
123,20,บุคคล23,CBF-multilingual-e5-large-instruct,ระบำชาวนา,1,1.0,1.0,1.0,1
123,20,บุคคล24,CBF-multilingual-e5-large-instruct,รำซัดชาตรี,1,1.0,1.0,1.0,1
123,20,บุคคล25,CBF-multilingual-e5-large-instruct,ลายเกราะ,2,1.0,0.5,0.6309297535714575,1
123,20,บุคคล27,CBF-multilingual-e5-large-instruct,ฟ้อนมาลัย,1,1.0,1.0,1.0,1
123,20,บุคคล28,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,2,1.0,0.5,0.6309297535714575,1
123,20,บุคคล29,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,3,1.0,0.3333333333333333,0.5,1
123,20,บุคคล3,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญจำบัง,1,1.0,1.0,1.0,1
123,20,บุคคล30,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,1,1.0,1.0,1.0,1
123,20,บุคคล31,CBF-multilingual-e5-large-instruct,ฟ้อนรัก,1,1.0,1.0,1.0,1
123,20,บุคคล33,CBF-multilingual-e5-large-instruct,รำซัดชาตรี,1,1.0,1.0,1.0,1
123,20,บุคคล34,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,1,1.0,1.0,1.0,1
123,20,บุคคล35,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน ลักสีดา,2,1.0,0.5,0.6309297535714575,1
123,20,บุคคล36,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน ลักสีดา,3,1.0,0.3333333333333333,0.5,1
123,20,บุคคล37,CBF-multilingual-e5-large-instruct,ตะกล้อล้อท่า,1,1.0,1.0,1.0,1
123,20,บุคคล38,CBF-multilingual-e5-large-instruct,ฟ้อนรัก,1,1.0,1.0,1.0,1
123,20,บุคคล39,CBF-multilingual-e5-large-instruct,ตะกล้อล้อท่า,1,1.0,1.0,1.0,1
123,20,บุคคล4,CBF-multilingual-e5-large-instruct,กลองสะบัดชัย,1,1.0,1.0,1.0,1
123,20,บุคคล40,CBF-multilingual-e5-large-instruct,ฟ้อนที,1,1.0,1.0,1.0,1
123,20,บุคคล5,CBF-multilingual-e5-large-instruct,กลองสะบัดชัย,3,1.0,0.3333333333333333,0.5,1
123,20,บุคคล6,CBF-multilingual-e5-large-instruct,ออเจ้าชาวกรุงศรี,1,1.0,1.0,1.0,1
123,20,บุคคล7,CBF-multilingual-e5-large-instruct,เซิ้งสวิง,1,1.0,1.0,1.0,1
123,20,บุคคล8,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญจำบัง,1,1.0,1.0,1.0,1
123,20,บุคคล9,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,3,1.0,0.3333333333333333,0.5,1
123,20,ราชการ1,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,2,1.0,0.5,0.6309297535714575,1
123,20,ราชการ10,CBF-multilingual-e5-large-instruct,ระบำสุโขทัย,1,1.0,1.0,1.0,1
123,20,ราชการ12,CBF-multilingual-e5-large-instruct,ระบำศรีวิชัย,1,1.0,1.0,1.0,1
123,20,ราชการ13,CBF-multilingual-e5-large-instruct,จตุรภาคี,1,1.0,1.0,1.0,1
123,20,ราชการ14,CBF-multilingual-e5-large-instruct,ระบำดาวดึงส์,1,1.0,1.0,1.0,1
123,20,ราชการ15,CBF-multilingual-e5-large-instruct,หนุมานจับนางสุพรรณมัจฉา,2,1.0,0.5,0.6309297535714575,1
123,20,ราชการ16,CBF-multilingual-e5-large-instruct,ระบำศรีวิชัย,1,1.0,1.0,1.0,1
123,20,ราชการ17,CBF-multilingual-e5-large-instruct,กระทบสากหรือกระทบไม้,1,1.0,1.0,1.0,1
123,20,ราชการ18,CBF-multilingual-e5-large-instruct,รำมโนห์ราบูชายัญ,1,1.0,1.0,1.0,1
123,20,ราชการ19,CBF-multilingual-e5-large-instruct,รำพลายชุมพล,1,1.0,1.0,1.0,1
123,20,ราชการ2,CBF-multilingual-e5-large-instruct,เจ้าพระยานที,1,1.0,1.0,1.0,1
123,20,ราชการ20,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,3,1.0,0.3333333333333333,0.5,1
123,20,ราชการ21,CBF-multilingual-e5-large-instruct,ฟ้อนเล็บ,1,1.0,1.0,1.0,1
123,20,ราชการ22,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,1,1.0,1.0,1.0,1
123,20,ราชการ23,CBF-multilingual-e5-large-instruct,รำพลายชุมพล,1,1.0,1.0,1.0,1
123,20,ราชการ24,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,1,1.0,1.0,1.0,1
123,20,ราชการ25,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,5,1.0,0.2,0.38685280723454163,1
123,20,ราชการ26,CBF-multilingual-e5-large-instruct,กลองสะบัดชัย,1,1.0,1.0,1.0,1
123,20,ราชการ27,CBF-multilingual-e5-large-instruct,ฟ้อนหมากกั๊บแก๊บลำเพลิน,2,1.0,0.5,0.6309297535714575,1
