seed,MAX_CANDS,user_bin,model,nDCG@10_mean,HR@10_mean,MRR@10_mean,n_users
2024,20,mid,POP-Global,0.275261843964774,0.5797101449275363,0.18338509316770182,69
555,20,mid,POP-Global,0.3159157009052008,0.6231884057971014,0.22245801702323445,69
42,20,heavy,POP-Global,0.3857669330876806,0.7272727272727273,0.28237734487734484,22
123,20,heavy,POP-Global,0.34319268653323254,0.7727272727272727,0.2138708513708514,22
999,20,heavy,POP-Global,0.3353503243209163,0.6363636363636364,0.24222582972582973,22
2024,20,heavy,POP-Global,0.28222076899324366,0.5909090909090909,0.18722943722943722,22
555,20,heavy,POP-Global,0.48013352999513564,0.7727272727272727,0.3871212121212121,22
42,20,cold,POP-Context,0.260557217724414,0.5409836065573771,0.17797293780900333,61
123,20,cold,POP-Context,0.3063667649452326,0.559322033898305,0.22942561205273068,59
999,20,cold,POP-Context,0.235864544912068,0.5079365079365079,0.1546485260770975,63
2024,20,cold,POP-Context,0.2559764662401051,0.546875,0.1710813492063492,64
555,20,cold,POP-Context,0.3237838018829367,0.6129032258064516,0.2378200204813108,62
42,20,mid,POP-Context,0.35761061980976044,0.6865671641791045,0.2572198531153755,67
123,20,mid,POP-Context,0.29519347903476845,0.6470588235294118,0.18894140989729222,68
999,20,mid,POP-Context,0.37114826250897703,0.75,0.25727707749766576,68
2024,20,mid,POP-Context,0.275261843964774,0.5797101449275363,0.18338509316770182,69
555,20,mid,POP-Context,0.3159157009052008,0.6231884057971014,0.22245801702323445,69
42,20,heavy,POP-Context,0.3857669330876806,0.7272727272727273,0.28237734487734484,22
123,20,heavy,POP-Context,0.34319268653323254,0.7727272727272727,0.2138708513708514,22
999,20,heavy,POP-Context,0.3353503243209163,0.6363636363636364,0.24222582972582973,22
2024,20,heavy,POP-Context,0.28222076899324366,0.5909090909090909,0.18722943722943722,22
555,20,heavy,POP-Context,0.48013352999513564,0.7727272727272727,0.3871212121212121,22
42,20,cold,Hybrid-WeightedSum,0.9155276202143213,1.0,0.8866120218579234,61
123,20,cold,Hybrid-WeightedSum,0.9137083244867534,1.0,0.884180790960452,59
999,20,cold,Hybrid-WeightedSum,0.9351826710317492,1.0,0.9126984126984128,63
2024,20,cold,Hybrid-WeightedSum,0.9324744965959862,1.0,0.9088541666666666,64
555,20,cold,Hybrid-WeightedSum,0.9207310536440433,0.9838709677419355,0.8991935483870968,62
42,20,mid,Hybrid-WeightedSum,0.9011156569057247,1.0,0.8685323383084577,67
123,20,mid,Hybrid-WeightedSum,0.9024692397438894,1.0,0.8697478991596639,68
999,20,mid,Hybrid-WeightedSum,0.9220338342237194,1.0,0.8959733893557422,68
2024,20,mid,Hybrid-WeightedSum,0.8712252522342692,0.9710144927536232,0.8393087186565447,69
555,20,mid,Hybrid-WeightedSum,0.9300094297371212,1.0,0.9057971014492754,69
42,20,heavy,Hybrid-WeightedSum,0.9161203985389677,1.0,0.8863636363636364,22
123,20,heavy,Hybrid-WeightedSum,0.8917303042841336,1.0,0.856060606060606,22
999,20,heavy,Hybrid-WeightedSum,0.8703960142898843,1.0,0.8272727272727273,22
2024,20,heavy,Hybrid-WeightedSum,0.9437208866883143,1.0,0.9242424242424242,22
555,20,heavy,Hybrid-WeightedSum,0.8917303042841336,1.0,0.8560606060606062,22
42,20,cold,Hybrid-WeightedProduct,0.8512849315258852,0.9508196721311475,0.8198998178506375,61
123,20,cold,Hybrid-WeightedProduct,0.9085272523175708,1.0,0.8776836158192091,59
999,20,cold,Hybrid-WeightedProduct,0.8816789458016372,0.9523809523809523,0.8596119929453263,63
2024,20,cold,Hybrid-WeightedProduct,0.9151947229157837,1.0,0.88671875,64
555,20,cold,Hybrid-WeightedProduct,0.8678221627266882,0.9838709677419355,0.8323028673835124,62
42,20,mid,Hybrid-WeightedProduct,0.8899847356012884,0.9850746268656716,0.8583511016346836,67
123,20,mid,Hybrid-WeightedProduct,0.8746756293406154,1.0,0.8327380952380953,68
999,20,mid,Hybrid-WeightedProduct,0.8926233326905079,0.9705882352941176,0.8675595238095238,68
2024,20,mid,Hybrid-WeightedProduct,0.8497438400720373,0.9855072463768116,0.8059753853232114,69
555,20,mid,Hybrid-WeightedProduct,0.9296656759068918,0.9855072463768116,0.9106280193236715,69
42,20,heavy,Hybrid-WeightedProduct,0.8874417733766287,0.9545454545454546,0.8636363636363636,22
123,20,heavy,Hybrid-WeightedProduct,0.8958297335227319,1.0,0.8617424242424242,22
999,20,heavy,Hybrid-WeightedProduct,0.8511873906385321,1.0,0.8019480519480521,22
2024,20,heavy,Hybrid-WeightedProduct,0.9209936139610416,1.0,0.8939393939393938,22
555,20,heavy,Hybrid-WeightedProduct,0.8557098274114353,0.9545454545454546,0.8246753246753247,22
42,20,cold,Hybrid-RRF,0.762485028002627,1.0,0.6846018735362998,61
123,20,cold,Hybrid-RRF,0.7641038894592866,1.0,0.6868845843422113,59
999,20,cold,Hybrid-RRF,0.7460366656542181,1.0,0.6623015873015874,63
2024,20,cold,Hybrid-RRF,0.7952979204700232,1.0,0.7265625,64
555,20,cold,Hybrid-RRF,0.7714898275075475,0.9838709677419355,0.7004224270353303,62
42,20,mid,Hybrid-RRF,0.7978465985326636,1.0,0.7324212271973466,67
123,20,mid,Hybrid-RRF,0.8136809531903785,0.9852941176470589,0.7563900560224089,68
999,20,mid,Hybrid-RRF,0.8162683292602292,1.0,0.7552696078431372,68
2024,20,mid,Hybrid-RRF,0.7531485437547089,0.9710144927536232,0.6825281803542673,69
555,20,mid,Hybrid-RRF,0.7948871153270879,1.0,0.7260869565217392,69
42,20,heavy,Hybrid-RRF,0.8109658354360803,1.0,0.7477272727272729,22
123,20,heavy,Hybrid-RRF,0.7265465563859723,0.9545454545454546,0.6522727272727272,22
999,20,heavy,Hybrid-RRF,0.8210695576525172,1.0,0.7655844155844155,22
2024,20,heavy,Hybrid-RRF,0.7914873729901902,1.0,0.7239177489177488,22
555,20,heavy,Hybrid-RRF,0.8368808890742346,1.0,0.7853535353535354,22
42,20,cold,Hybrid-ReliabilityGate,0.890092523802508,1.0,0.8530054644808743,61
123,20,cold,Hybrid-ReliabilityGate,0.8845497154689383,1.0,0.8451977401129942,59
999,20,cold,Hybrid-ReliabilityGate,0.8909962437222594,1.0,0.8531746031746031,63
2024,20,cold,Hybrid-ReliabilityGate,0.897781403907688,1.0,0.8625,64
555,20,cold,Hybrid-ReliabilityGate,0.8942318979604813,0.9838709677419355,0.8638632872503842,62
42,20,mid,Hybrid-ReliabilityGate,0.8690343814631647,1.0,0.8261194029850747,67
123,20,mid,Hybrid-ReliabilityGate,0.8763815441307437,1.0,0.8353116246498601,68
999,20,mid,Hybrid-ReliabilityGate,0.8964343293682762,1.0,0.8615196078431373,68
2024,20,mid,Hybrid-ReliabilityGate,0.8433417912598721,0.9565217391304348,0.8056935817805383,69
555,20,mid,Hybrid-ReliabilityGate,0.8715606211012729,1.0,0.8277777777777777,69
42,20,heavy,Hybrid-ReliabilityGate,0.8168233474837735,1.0,0.7556818181818182,22
123,20,heavy,Hybrid-ReliabilityGate,0.8323992654819872,1.0,0.7772727272727273,22
999,20,heavy,Hybrid-ReliabilityGate,0.8676125322815679,1.0,0.8246753246753247,22
2024,20,heavy,Hybrid-ReliabilityGate,0.8814904209415624,1.0,0.8409090909090909,22
555,20,heavy,Hybrid-ReliabilityGate,0.8498843439409903,1.0,0.8007575757575758,22
all,20,cold,CBF-multilingual-e5-large-instruct,0.9115460652288376,0.9967637540453075,0.8828247803975959,309
all,20,mid,CBF-multilingual-e5-large-instruct,0.8741204012819246,0.9941348973607038,0.83427710282549,341
all,20,heavy,CBF-multilingual-e5-large-instruct,0.8997840728554684,1.0,0.8666125541125541,110
all,20,cold,CBF-bge-m3,0.9114700589460013,0.9967637540453075,0.8837995068577593,309
all,20,mid,CBF-bge-m3,0.8574774373115078,0.9853372434017595,0.8151584974165619,341
all,20,heavy,CBF-bge-m3,0.8665150112107651,0.9818181818181818,0.828495670995671,110
all,20,cold,CBF-SCT-KD-model-phayathaibert,0.835789629407115,0.970873786407767,0.7907407407407407,309
all,20,mid,CBF-SCT-KD-model-phayathaibert,0.828055051336413,0.9794721407624634,0.7787750779686263,341
all,20,heavy,CBF-SCT-KD-model-phayathaibert,0.7990565495369188,0.9818181818181818,0.7404040404040404,110
all,20,cold,CBF-wangchanberta-base-att-spm-uncased,0.8066471121438321,0.9838187702265372,0.7496224379719525,309
all,20,mid,CBF-wangchanberta-base-att-spm-uncased,0.7620870491706315,0.9736070381231672,0.6934459805427547,341
all,20,heavy,CBF-wangchanberta-base-att-spm-uncased,0.7627196487069634,0.9818181818181818,0.6922655122655123,110
all,20,cold,CF-EASE_R,0.6669706597593078,0.941747572815534,0.5785791339189398,309
all,20,mid,CF-EASE_R,0.6464995611688218,0.9296187683284457,0.5568670576735092,341
all,20,heavy,CF-EASE_R,0.5933856502191658,0.9,0.496468253968254,110
all,20,cold,CF-BiasedMF,0.6570199932112548,0.9838187702265372,0.553232393280937,309
all,20,mid,CF-BiasedMF,0.590914490982843,0.9296187683284457,0.4857724712563422,341
all,20,heavy,CF-BiasedMF,0.5734945861441207,0.9272727272727272,0.4673809523809524,110
all,20,cold,CF-BiasedMF-BPR,0.5254880678826199,0.8802588996763754,0.41476087738223655,309
all,20,mid,CF-BiasedMF-BPR,0.5279976592668449,0.8944281524926686,0.41300097751710657,341
all,20,heavy,CF-BiasedMF-BPR,0.42750519457210273,0.7909090909090909,0.3169733044733046,110
all,20,cold,CF-ItemKNN,0.8270301757436485,0.9902912621359223,0.7725805208814918,309
all,20,mid,CF-ItemKNN,0.8089084359168331,0.9765395894428153,0.7537541311734861,341
all,20,heavy,CF-ItemKNN,0.8095390447791954,0.990909090909091,0.7517243867243866,110
all,20,cold,CF-SimpleX,0.7841436494414599,0.9773462783171522,0.7212885909487852,309
all,20,mid,CF-SimpleX,0.7431844468206106,0.9648093841642229,0.6707082344179118,341
all,20,heavy,CF-SimpleX,0.7111157331349812,0.9181818181818182,0.643051948051948,110
all,20,cold,POP-Global,0.276007072163518,0.5533980582524272,0.19362254070991936,309
all,20,mid,POP-Global,0.3227636379714279,0.656891495601173,0.22164153051249827,341
all,20,heavy,POP-Global,0.3653328485860417,0.7,0.26256493506493506,110
all,20,cold,POP-Context,0.276007072163518,0.5533980582524272,0.19362254070991936,309
all,20,mid,POP-Context,0.3227636379714279,0.656891495601173,0.22164153051249827,341
all,20,heavy,POP-Context,0.3653328485860417,0.7,0.26256493506493506,110
all,20,cold,Hybrid-WeightedSum,0.9237416743070099,0.9967637540453075,0.8985976267529664,309
all,20,mid,Hybrid-WeightedSum,0.9053552818138032,0.9941348973607038,0.8758739468416887,341
all,20,heavy,Hybrid-WeightedSum,0.9027395816170867,1.0,0.87,110
all,20,cold,Hybrid-WeightedProduct,0.884966662300918,0.9773462783171522,0.8553577849694354,309
all,20,mid,Hybrid-WeightedProduct,0.8873447604280024,0.9853372434017595,0.855059814737234,341
all,20,heavy,Hybrid-WeightedProduct,0.8822324677820739,0.9818181818181818,0.8491883116883117,110
all,20,cold,Hybrid-RRF,0.7680435674369686,0.9967637540453075,0.6923562952689166,309
all,20,mid,Hybrid-RRF,0.7950344099266091,0.9912023460410557,0.7303798352185449,341
all,20,heavy,Hybrid-RRF,0.7973900423077989,0.990909090909091,0.73497113997114,110
all,20,cold,Hybrid-ReliabilityGate,0.8916415147015035,0.9967637540453075,0.8556942518107565,309
all,20,mid,Hybrid-ReliabilityGate,0.871275804718136,0.9912023460410557,0.8312142158916354,341
all,20,heavy,Hybrid-ReliabilityGate,0.8496419820259762,1.0,0.7998593073593073,110
42,40,cold,CBF-multilingual-e5-large-instruct,0.9029332641514463,0.984375,0.8759300595238095,64
123,40,cold,CBF-multilingual-e5-large-instruct,0.8491116860196827,0.9838709677419355,0.8037634408602151,62
999,40,cold,CBF-multilingual-e5-large-instruct,0.8821043653762423,1.0,0.8430989583333333,64
2024,40,cold,CBF-multilingual-e5-large-instruct,0.8856763638066969,1.0,0.846875,64
555,40,cold,CBF-multilingual-e5-large-instruct,0.9000616616968666,0.9682539682539683,0.8779541446208112,63
42,40,mid,CBF-multilingual-e5-large-instruct,0.859749953702679,0.9714285714285714,0.8223809523809524,70
123,40,mid,CBF-multilingual-e5-large-instruct,0.8714257099563169,1.0,0.8292857142857143,70
999,40,mid,CBF-multilingual-e5-large-instruct,0.8932408262709912,0.9857142857142858,0.861904761904762,70
2024,40,mid,CBF-multilingual-e5-large-instruct,0.8861199764530108,0.9710144927536232,0.8583735909822866,69
555,40,mid,CBF-multilingual-e5-large-instruct,0.9007600384366897,1.0,0.8668027210884354,70
42,40,heavy,CBF-multilingual-e5-large-instruct,0.8801912785959118,1.0,0.8428030303030304,22
123,40,heavy,CBF-multilingual-e5-large-instruct,0.8536200939976779,0.9545454545454546,0.8196969696969696,22
999,40,heavy,CBF-multilingual-e5-large-instruct,0.8655267032197016,1.0,0.8227813852813852,22
2024,40,heavy,CBF-multilingual-e5-large-instruct,0.9102667908431655,1.0,0.8814935064935064,22
555,40,heavy,CBF-multilingual-e5-large-instruct,0.8814904209415624,1.0,0.8409090909090907,22
42,40,cold,CBF-bge-m3,0.9041078578962092,1.0,0.873046875,64
123,40,cold,CBF-bge-m3,0.8773888575247484,0.9838709677419355,0.8416666666666667,62
999,40,cold,CBF-bge-m3,0.8524945913024956,0.96875,0.8139508928571428,64
2024,40,cold,CBF-bge-m3,0.9203248469174439,1.0,0.8938802083333333,64
